+-----+---------------------------------------------------------+--------------------------------------------+---------------+
| id  | title                                                   | artist                                     | genre         |
| 382 | Rock with You                                           | Michael Jackson                            | Pop           |
| 383 | Let's Groove                                            | Earth, Wind & Fire                         | Funk          |
| 384 | September                                               | Earth, Wind & Fire                         | Funk          |
| 385 | Car Wash                                                | Rose Royce                                 | Funk          |
| 386 | Jungle Boogie                                           | Kool & The Gang                            | Funk          |
| 387 | Get Down On It                                          | Kool & The Gang                            | Funk          |
| 388 | Don?t Leave Me This Way                                 | Thelma Houston                             | Disco         |
| 389 | I?m Coming Out                                          | Diana Ross                                 | Disco         |
| 390 | Ain't Nobody                                            | Chaka Khan                                 | Funk          |
| 391 | We Are Family                                           | Sister Sledge                              | Disco         |
| 392 | Bootylicious                                            | Destiny's Child                            | R&B           |
| 393 | Survivor                                                | Destiny's Child                            | R&B           |
| 394 | No Scrubs                                               | TLC                                        | R&B           |
| 395 | Waterfalls                                              | TLC                                        | R&B           |
| 396 | Millie Vanilli ? ?Girl You Know It's True?              | Milli Vanilli                              | Pop           |
| 397 | Everybody (Backstreet's Back)                           | Backstreet Boys                            | Pop           |
| 398 | All Too Well                                            | Taylor Swift                               | Pop           |
| 399 | Blank Space                                             | Taylor Swift                               | Pop           |
| 400 | Shake It Off                                            | Taylor Swift                               | Pop           |
| 401 | Bad Blood                                               | Taylor Swift                               | Pop           |
| 402 | Rolling in the Deep (Live)                              | Adele                                      | Pop           |
| 403 | Love Me Do                                              | The Beatles                                | Pop           |
| 404 | I Got You (I Feel Good)                                 | James Brown                                | Soul          |
| 405 | Papa's Got a Brand New Bag                              | James Brown                                | Soul          |
| 406 | Get Up (I Feel Like Being a) Sex Machine                | James Brown                                | Soul          |
| 407 | Living in America                                       | James Brown                                | Soul          |
